variable,code,count,meaning
CurrentAlcoholUse,1,6946,0 days
CurrentAlcoholUse,2,2735,1 or 2 days
CurrentAlcoholUse,3,1369,3 to 5 days
CurrentAlcoholUse,4,839,6 to 9 days
CurrentAlcoholUse,5,555,10 to 19 days
CurrentAlcoholUse,6,105,20 to 29 days
CurrentAlcoholUse,7,120,all 30 days
CurrentAlcoholUse,Missing,1372,Missing or invalid
CurrentMarijuaUse,1,10868,0 times
CurrentMarijuaUse,2,1034,1 or 2 times
CurrentMarijuaUse,3,636,3 to 9 times
CurrentMarijuaUse,4,377,10 to 19 times
CurrentMarijuaUse,5,271,20 to 39 times
CurrentMarijuaUse,6,478,40 or more times
CurrentMarijuaUse,Missing,377,Missing or invalid
