variable,code,count,meaning
FruitEating,1,2127,0 times during the past 7 days
FruitEating,2,5310,1 to 3 times during the past 7 days
FruitEating,3,2434,4 to 6 times during the past 7 days
FruitEating,4,1399,1 time per day
FruitEating,5,1348,2 times per day
FruitEating,6,592,3 times per day
FruitEating,7,683,4 or more times per day
FruitEating,Missing,148,Missing or invalid
GreenSaladEating,1,5162,0 times during the past 7 days
GreenSaladEating,2,5170,1 to 3 times during the past 7 days
GreenSaladEating,3,1547,4 to 6 times during the past 7 days
GreenSaladEating,4,927,1 time per day
GreenSaladEating,5,343,2 times per day
GreenSaladEating,6,99,3 times per day
GreenSaladEating,7,198,4 or more times per day
GreenSaladEating,Missing,595,Missing or invalid
OtherVegetableEating,1,2650,0 times during the past 7 days
OtherVegetableEating,2,5236,1 to 3 times during the past 7 days
OtherVegetableEating,3,2739,4 to 6 times during the past 7 days
OtherVegetableEating,4,1429,1 time per day
OtherVegetableEating,5,784,2 times per day
OtherVegetableEating,6,267,3 times per day
OtherVegetableEating,7,321,4 or more times per day
OtherVegetableEating,Missing,615,Missing or invalid
